case_id,title,topology,symptom,topology_note,show_outputs,expected_fault,osi_layer,concept,severity,ai_diagnosis,ai_confidence,human_review,review_notes
10,Missing Subinterface,Two VLANs connected to one switch and one router using router-on-a-stick,PC1 in VLAN 10 cannot communicate with PC2 in VLAN 20.,PC1 belongs to VLAN 10 with IP 192.168.10.10. PC2 belongs to VLAN 20 with IP 192.168.20.10. The switch-to-router link is a trunk. The router's G0/0.20 subinterface is intentionally removed.,show ip interface brief: G0/0.10 = 192.168.10.1 up/up G0/0.20 is missing. show running-config: G0/0.10 configuration exists. G0/0.20 configuration is absent.,The router is missing the G0/0.20 subinterface required for VLAN 20.,Layer 3,Inter-VLAN Routing,High,,,,
12,DHCP Pool Missing,One PC connected to a switch and router,,PC1 is connected to the router through a switch. The router interface is 192.168.10.1/24. The DHCP pool for the 192.168.10.0/24 network is intentionally removed.,PC1 ipconfig: PC1 does not receive a 192.168.10.x DHCP address and may receive a 169.254.x.x address. Router show running-config | section dhcp: No DHCP pool for LAN1 exists. Router show ip dhcp pool: Expected DHCP pool is missing.,The DHCP pool for the 192.168.10.0/24 network is missing.,Layer 3,DHCP,High,,,,
13,Wrong DHCP Network,One PC connected to a switch and router,PC1 cannot obtain a valid IP address from DHCP.,"The router interface is 192.168.10.1/24, so the actual LAN is 192.168.10.0/24. The DHCP pool is intentionally configured for 192.168.20.0/24 instead.",PC1 ipconfig: 169.254.x.x or DHCP request failure. Router show ip interface brief: GigabitEthernet0/0 192.168.10.1 up up Router show running-config | section dhcp: ip dhcp pool LAN1 network 192.168.20.0 255.255.255.0 default-router 192.168.20.1,The DHCP pool is configured for the wrong network. It should use 192.168.10.0/24.,Layer 3,DHCP,High,,,,
14,Wrong DHCP Gateway,One PC connected to a switch and router,PC receives an IP address through DHCP but cannot correctly reach networks outside its local subnet.,"PC1 is connected to the 192.168.10.0/24 network. The router interface is 192.168.10.1. The DHCP pool is correctly configured for the 192.168.10.0/24 network, but it intentionally provides 192.168.10.254 as the default gateway.",PC1 ipconfig: IP Address: 192.168.10.x Subnet Mask: 255.255.255.0 Default Gateway: 192.168.10.254 Router show ip interface brief: GigabitEthernet0/0 192.168.10.1 up up Router show running-config | section dhcp: ip dhcp pool LAN1 network 192.168.10.0 255.255.255.0 default-router 192.168.10.254 dns-server 8.8.8.8,The DHCP pool provides the wrong default gateway. It should provide 192.168.10.1.,Layer 3,DHCP / Default Gateway,High,,,,
15,DHCP Addresses Exhausted,Multiple PCs connected to a switch and router,A new PC cannot obtain an IP address through DHCP even though the DHCP pool and network configuration are correct.,"The router provides DHCP for the 192.168.10.0/24 network. Almost all addresses are intentionally excluded from the DHCP pool, leaving only one usable address. The first PC receives the available address, leaving no free addresses for additional clients.",PC1 ipconfig: IP Address: 192.168.10.254 Subnet Mask: 255.255.255.0 Default Gateway: 192.168.10.1 PC2: DHCP request failed or receives a 169.254.x.x address. Router show ip dhcp binding: 192.168.10.254 is already leased. Router show ip dhcp pool: DHCP pool exists but has no available addresses.,The DHCP address pool is exhausted because all available addresses have been leased or excluded.,Layer 3,DHCP Address Pool Exhaustion,Medium,,,,
16,Missing Route,Two LANs connected through two routers,PC1 cannot communicate with a PC on a different network.,PC1 is on 192.168.10.0/24 behind Router1. PC2 is on 192.168.20.0/24 behind Router2. The routers are connected through a transit network. The route to the remote LAN is intentionally missing.,Router1 show ip route: No route for 192.168.20.0/24. PC1 ping 192.168.20.10: Request timed out.,Router1 is missing a route to the 192.168.20.0/24 destination network.,Layer 3,Routing,High,,,,
17,Wrong Static Route,Two LANs connected through two routers,PC1 cannot reach the remote network even though a static route exists.,"PC1 is on 192.168.10.0/24 and the remote LAN is 192.168.20.0/24. A static route is configured on Router1, but the destination network or next-hop address is intentionally incorrect.",Router1 show ip route: Static route exists but points to an incorrect destination or next hop. PC1 ping 192.168.20.10: Request timed out.,"The static route contains an incorrect destination network, subnet mask, or next-hop address.",Layer 3,Static Routing,High,,,,
18,Router Interface Down,LAN connected to a router,Devices connected to one router interface cannot communicate with the network.,The router provides the gateway for the LAN. The interface connected to the LAN is intentionally shut down.,show ip interface brief: The affected interface shows administratively down/down. PC ping to gateway: Request timed out.,The router interface connected to the LAN is administratively down.,Layer 1/3,Router Interface,High,,,,
19,Wrong Network Address,LAN connected to a router,The router configuration does not match the actual LAN network.,"The LAN uses one network range, but the router or routing configuration is intentionally configured with a different network address.",show ip interface brief: Router interface uses an IP from the wrong network. show ip route: Connected network does not match the expected LAN network.,The configured network address does not match the actual LAN network.,Layer 3,IP Addressing / Routing,High,,,,
20,Wrong DNS Server,PC connected to LAN and DNS server,The PC can communicate using IP addresses but cannot resolve domain names.,"The PC has a valid IP address and gateway, but its DNS configuration points to an incorrect DNS server address.",PC ipconfig: Valid IP and gateway but incorrect DNS server. Ping server IP: Successful. Ping hostname: Fails to resolve.,The PC or DHCP configuration specifies the wrong DNS server address.,Layer 3/7,DNS,Medium,,,,
21,Missing DNS Record,PC connected to DNS server and internal server,"The DNS server is reachable, but the internal server hostname cannot be resolved.",The PC can reach the DNS server and the internal server by IP address. The required hostname-to-IP record is intentionally missing from the DNS service.,PC ping DNS server IP: Successful. PC ping internal server IP: Successful. PC ping internal-server hostname: Name resolution fails.,The required DNS A record for the internal server hostname is missing.,Layer 7,DNS,Medium,,,,
22,DNS Server Unreachable,PC connected to LAN and DNS server,The PC has network connectivity but cannot reach the configured DNS server.,"The PC is configured with a DNS server address, but routing or connectivity to that DNS server is intentionally broken.","PC ipconfig: Correct IP, subnet mask, gateway and DNS server. Ping DNS server: Request timed out. Hostname resolution: Fails.",The configured DNS server is unreachable because of a network connectivity or routing problem.,Layer 3/7,DNS Connectivity,High,,,,
23,ACL Blocks Traffic,PC connected through router with an ACL,Traffic that should be allowed is blocked by an access control list.,The router has an ACL applied to the traffic path. The ACL intentionally contains a deny statement that blocks the required source or destination traffic.,show access-lists: ACL contains a deny rule matching the required traffic. PC ping/server access: Fails.,An ACL deny rule is blocking traffic that should be permitted.,Layer 3/4,ACL,High,,,,
24,ACL on Wrong Interface,PC connected through router with an ACL,The ACL does not control the intended traffic because it is applied to the wrong interface.,"The ACL rules themselves are correct, but the ACL is intentionally applied inbound or outbound on an interface that does not carry the intended traffic.",show access-lists: ACL rules are correct. show running-config: ACL is applied to the wrong router interface or direction.,The ACL is applied to the wrong interface or direction.,Layer 3/4,ACL,High,,,,
25,Wrong ACL Order,PC connected through router with an ACL,Allowed traffic is blocked even though a permit rule exists in the ACL.,"The ACL contains both deny and permit statements, but the deny statement is intentionally placed before the permit statement for the same traffic.",show access-lists: Deny rule appears before the required permit rule. PC traffic: Blocked.,The ACL rule order is incorrect. A deny rule is matched before the intended permit rule.,Layer 3/4,ACL,High,,,,
26,NAT Missing,Private LAN connected to an external network through a router,Private LAN hosts cannot access the external network because their private addresses are not translated.,The router connects a private LAN to an external network. NAT is intentionally not configured on the router.,show running-config: No NAT configuration. show ip nat translations: No translations. Private PC access to external server: Fails.,NAT configuration is missing from the router.,Layer 3,NAT,High,,,,
27,NAT Inside/Outside Mistake,Private LAN connected to an external network through a router,NAT is configured but translation does not work correctly.,"The router has NAT configured, but the LAN and external interfaces are intentionally assigned incorrect ip nat inside or ip nat outside roles.",show running-config: NAT inside/outside roles are reversed or assigned to the wrong interfaces. show ip nat translations: No expected translations. Private PC access: Fails.,The router interfaces have incorrect NAT inside/outside configuration.,Layer 3,NAT,High,,,,
28,NAT ACL Mismatch,Private LAN connected to an external network through a router,Private hosts cannot access the external network even though NAT is configured.,"The NAT configuration and inside/outside interfaces exist, but the ACL used by NAT does not match the actual private LAN subnet.",show access-lists: NAT ACL matches the wrong network. show ip nat translations: No translation for the actual private client. Private PC access: Fails.,The NAT ACL does not permit the actual private LAN addresses.,Layer 3,NAT / ACL,High,,,,
29,Wireless Configuration Problem,Wireless PC connected to a wireless router or access point,The wireless client cannot connect to the configured Wi-Fi network.,"The wireless router or access point is configured with an incorrect SSID, security mode, or wireless password.",Wireless device configuration: SSID or security settings do not match the client. Wireless PC: Cannot associate with the wireless network.,"Wireless configuration is incorrect, such as a wrong SSID, security mode, or password.",Layer 2,Wireless Networking,Medium,,,,
30,Wireless ? Internal Server Problem,Wireless client connected to an internal wired server through a router,The wireless client connects to Wi-Fi successfully but cannot reach the internal server.,"The wireless client receives a valid IP address and can communicate with the wireless network, but routing, gateway, VLAN, or access configuration prevents access to the internal server.",Wireless PC ipconfig: Valid wireless IP and gateway. Ping wireless gateway: Successful. Ping internal server: Fails. Router routing/ACL configuration: Contains the connectivity fault.,"The wireless client can reach its local network but cannot reach the internal server because of an internal routing, gateway, VLAN, or access configuration problem.",Layer 3,Wireless / Internal Server Connectivity,High,,,,
